date,consulting analyst jobs,AI consulting jobs,data science consulting,management consulting jobs,isPartial
2019-01-01,23,0,13,45,False
2019-02-01,23,0,13,51,False
2019-03-01,20,0,11,46,False
2019-04-01,20,0,14,45,False
2019-05-01,19,0,8,42,False
2019-06-01,24,0,14,43,False
2019-07-01,24,0,12,57,False
2019-08-01,19,0,15,56,False
2019-09-01,29,0,17,43,False
2019-10-01,18,0,15,51,False
2019-11-01,17,0,10,35,False
2019-12-01,18,0,8,36,False
2020-01-01,21,0,15,42,False
2020-02-01,19,0,15,47,False
2020-03-01,14,0,11,33,False
2020-04-01,15,0,11,29,False
2020-05-01,21,0,14,39,False
2020-06-01,20,0,17,38,False
2020-07-01,19,0,12,35,False
2020-08-01,16,0,11,38,False
2020-09-01,19,0,14,34,False
2020-10-01,19,0,12,33,False
2020-11-01,11,0,10,26,False
2020-12-01,14,0,11,24,False
2021-01-01,16,0,9,29,False
2021-02-01,12,0,11,26,False
2021-03-01,11,0,6,27,False
2021-04-01,13,0,12,29,False
2021-05-01,13,0,11,31,False
2021-06-01,15,0,11,27,False
2021-07-01,19,0,11,26,False
2021-08-01,14,0,9,28,False
2021-09-01,18,0,13,33,False
2021-10-01,12,0,12,30,False
2021-11-01,14,0,11,37,False
2021-12-01,11,0,11,20,False
2022-01-01,18,0,15,40,False
2022-02-01,23,0,16,41,False
2022-03-01,20,0,15,39,False
2022-04-01,21,0,19,37,False
2022-05-01,17,0,14,29,False
2022-06-01,17,0,11,36,False
2022-07-01,23,0,15,39,False
2022-08-01,20,0,18,36,False
2022-09-01,26,0,20,39,False
2022-10-01,22,0,17,36,False
2022-11-01,18,0,16,30,False
2022-12-01,16,0,15,28,False
2023-01-01,26,0,14,41,False
2023-02-01,22,0,15,44,False
2023-03-01,24,4,15,40,False
2023-04-01,21,6,15,37,False
2023-05-01,22,6,15,34,False
2023-06-01,21,4,14,44,False
2023-07-01,24,6,10,43,False
2023-08-01,23,7,13,41,False
2023-09-01,27,5,20,50,False
2023-10-01,23,0,14,38,False
2023-11-01,20,4,13,35,False
2023-12-01,19,0,12,34,False
2024-01-01,28,4,16,50,False
2024-02-01,27,7,16,50,False
2024-03-01,23,7,15,49,False
2024-04-01,24,8,13,49,False
2024-05-01,18,7,14,41,False
2024-06-01,24,8,16,44,False
2024-07-01,26,5,15,44,False
2024-08-01,33,7,18,52,False
2024-09-01,32,11,21,49,False
2024-10-01,27,7,20,45,False
2024-11-01,19,9,16,41,False
2024-12-01,23,6,12,28,False
2025-01-01,23,10,14,51,False
2025-02-01,24,9,20,50,False
2025-03-01,30,12,17,46,False
2025-04-01,28,15,23,47,False
2025-05-01,22,12,20,41,False
2025-06-01,26,42,33,56,False
2025-07-01,28,49,54,70,False
2025-08-01,32,68,38,64,False
2025-09-01,25,56,60,66,False
2025-10-01,25,58,47,69,False
2025-11-01,19,49,46,53,False
2025-12-01,25,52,42,54,False
2026-01-01,35,63,57,72,False
2026-02-01,29,80,82,75,False
2026-03-01,35,100,66,75,False
2026-04-01,20,33,21,37,True
