date,consulting analyst,data scientist consulting,AI strategy consultant,management consulting jobs,isPartial
2018-01-01,30,2,0,19,False
2018-02-01,30,2,0,21,False
2018-03-01,30,2,0,19,False
2018-04-01,29,2,0,19,False
2018-05-01,25,1,0,18,False
2018-06-01,28,2,0,16,False
2018-07-01,30,1,0,18,False
2018-08-01,35,4,0,18,False
2018-09-01,42,3,0,21,False
2018-10-01,41,3,0,16,False
2018-11-01,28,1,0,17,False
2018-12-01,26,0,0,14,False
2019-01-01,32,1,0,16,False
2019-02-01,33,0,0,18,False
2019-03-01,27,0,0,16,False
2019-04-01,28,2,0,16,False
2019-05-01,28,0,0,15,False
2019-06-01,31,3,0,15,False
2019-07-01,31,2,0,20,False
2019-08-01,31,2,0,20,False
2019-09-01,44,2,0,15,False
2019-10-01,41,2,0,18,False
2019-11-01,29,2,0,12,False
2019-12-01,23,0,0,12,False
2020-01-01,29,2,0,15,False
2020-02-01,30,2,0,16,False
2020-03-01,19,1,0,11,False
2020-04-01,20,1,0,10,False
2020-05-01,22,1,0,14,False
2020-06-01,25,2,0,13,False
2020-07-01,25,1,0,12,False
2020-08-01,23,1,0,13,False
2020-09-01,35,1,0,12,False
2020-10-01,27,0,0,11,False
2020-11-01,16,0,0,9,False
2020-12-01,17,0,0,8,False
2021-01-01,18,2,0,10,False
2021-02-01,20,0,0,9,False
2021-03-01,18,2,0,10,False
2021-04-01,21,0,0,10,False
2021-05-01,21,1,0,11,False
2021-06-01,21,0,0,9,False
2021-07-01,22,1,0,9,False
2021-08-01,22,0,0,10,False
2021-09-01,31,0,0,12,False
2021-10-01,30,2,0,10,False
2021-11-01,28,1,0,13,False
2021-12-01,19,0,0,7,False
2022-01-01,31,2,0,14,False
2022-02-01,36,1,0,14,False
2022-03-01,34,2,0,14,False
2022-04-01,35,2,0,13,False
2022-05-01,28,2,0,10,False
2022-06-01,31,1,0,12,False
2022-07-01,33,2,0,14,False
2022-08-01,35,2,0,13,False
2022-09-01,43,2,0,14,False
2022-10-01,40,2,0,13,False
2022-11-01,30,1,0,10,False
2022-12-01,24,2,0,10,False
2023-01-01,31,2,0,14,False
2023-02-01,33,1,0,16,False
2023-03-01,32,1,0,14,False
2023-04-01,28,2,0,13,False
2023-05-01,27,1,0,12,False
2023-06-01,32,3,0,15,False
2023-07-01,31,3,0,15,False
2023-08-01,32,3,1,14,False
2023-09-01,38,2,0,17,False
2023-10-01,36,2,0,13,False
2023-11-01,29,1,0,12,False
2023-12-01,23,2,0,12,False
2024-01-01,33,2,0,17,False
2024-02-01,34,3,0,17,False
2024-03-01,30,3,0,17,False
2024-04-01,29,2,0,17,False
2024-05-01,27,0,0,14,False
2024-06-01,30,0,0,15,False
2024-07-01,34,1,0,15,False
2024-08-01,39,3,0,18,False
2024-09-01,44,2,0,17,False
2024-10-01,41,2,0,16,False
2024-11-01,29,2,0,14,False
2024-12-01,25,0,0,10,False
2025-01-01,31,2,0,18,False
2025-02-01,33,2,0,17,False
2025-03-01,34,2,1,16,False
2025-04-01,32,2,0,16,False
2025-05-01,31,2,0,14,False
2025-06-01,45,3,5,20,False
2025-07-01,55,3,5,25,False
2025-08-01,51,2,5,22,False
2025-09-01,61,3,5,23,False
2025-10-01,54,2,5,24,False
2025-11-01,50,3,6,19,False
2025-12-01,51,2,7,19,False
2026-01-01,66,4,10,25,False
2026-02-01,75,4,11,26,False
2026-03-01,100,6,16,26,False
2026-04-01,38,2,5,13,True
